age
49
38
12
57
24
22
14
17
8
13
11
54
60
10
241
27
11
11
12
107
10
9
27
87
10
173
70
170
173
12
57
25
26
26
48
14
53
12
152
37
14
0
12
7
29
0
64
36
23
97
38
110
20
159
83
152
10
6
14
22
137
11
16
57
74
16
19
23
0
83
7
95
44
12
162
83
11
22
5
27
6
25
80
14
20
74
60
17
14
26
23
32
54
19
34
26
64
12
21
15
10
30
7
87
25
28
10
12
45
16
3
241
13
7
40
85
22
26
25
22
23
144
7
29
36
22
56
5
64
14
10
64
51
25
15
79
54
11
5
14
11
0
9
38
57
22
11
35
77
57
12
14
17
176
171
46
26
241
41
52
9
12
0
12
29
5
71
9
40
55
16
16
241
8
241
40
5
87
241
74
61
38
14
13
26
170
0
7
9
0
8
20
9
15
8
12
36
45
0
38
26
64
87
58
61
17
27
27
97
20
92
23
12
176
17
30
25
64
41
171
46
26
0
241
9
38
52
41
26
3
0
173
87
30
12
16
21
29
23
30
56
12
71
46
83
105
5
139
16
135
40
18
9
55
173
10
0
16
22
241
16
241
8
18
0
172
5
14
40
74
241
87
74
25
120
61
38
278
70
25
19
13
10
15
14
26
35
40
159
241
93
170
46
171
7
26
54
26
40
75
0
7
26
26
29
0
54
0
57
171
9
53
8
9
14
31
20
7
12
15
5
24
85
8
33
171
53
48
15
94
12
147
171
41
9
36
12
45
49
0
19
0
241
38
14
56
26
64
12
109
107
58
38
23
110
10
61
87
147
33
26
54
64
46
147
16
11
7
7
34
0
38
38
0
171
173
152
13
20
32
12
110
50
166
41
18
10
27
20
12
79
14
61
147
17
15
53
44
97
29
0
57
30
19
0
39
16
57
26
22
110
75
0
147
100
64
33
19
14
15
20
147
152
6
8
171
57
9
210
23
6
53
8
15
14
12
46
30
0
9
14
20
31
12
15
7
34
12
10
0
5
0
0
53
87
6
0
24
0
11
15
137
55
108
85
0
23
8
33
83
171
15
83
64
8
94
12
16
147
41
171
42
9
10
68
109
16
10
12
49
36
20
45
0
83
25
21
110
109
64
19
0
15
241
38
11
14
16
17
56
14
0
25
192
14
34
12
26
40
109
64
159
152
107
58
18
23
38
110
47
26
10
61
87
147
33
170
26
45
20
54
64
46
147
16
7
11
7
19
8
34
0
14
5
171
192
16
38
55
0
0
171
45
8
152
173
20
10
12
10
32
171
110
26
11
0
50
41
26
16
166
0
10
18
20
13
20
5
27
79
12
61
97
17
14
15
147
41
0
50
15
53
44
0
28
57
30
19
173
0
39
28
16
11
57
27
110
26
22
49
0
75
147
100
64
74
109
33
123
19
14
15
14
31
20
20
147
31
38
43
133
0
28
52
61
14
100
14
110
11
16
57
41
109
42
9
33
10
0
68
16
10
12
36
49
20
45
83
0
25
109
64
137
12
25
0
241
11
15
14
38
16
56
0
17
53
25
14
25
17
192
14
64
11
34
23
26
12
40
109
0
64
109
107
58
18
23
38
110
47
26
87
10
61
0
147
16
33
26
45
170
20
54
64
46
147
16
11
7
7
0
34
15
14
171
11
5
192
16
38
0
55
